BuildingType,PrimaryPropertyType,YearBuilt,Neighborhood,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ENERGYSTARScore_imputer,SiteEUIWN(kBtu/sf),GHGEmissionsIntensity,CategorieEnergie,LPUT,SLPUT,ENERGYSTARScore
NonResidential,Small- and Mid-Sized Office,1965,magnolia / queen anne,4,0,30840,30.0,126.1999969,3.28,Électricité & GazNaturel,Medium,Medium,30.0
NonResidential,Other,1946,northeast,1,0,20332,95.66666666666667,21.20000076,0.54,Électricité & GazNaturel,Medium,Medium,
NonResidential,Worship Facility,1900,central,1,0,21850,100.0,16.5,0.6,GazNaturel,Low,Low,100.0
NonResidential,Mixed Use Property,1997,northeast,4,6985,25297,78.33333333333333,59.29999924,1.07,Électricité & GazNaturel,Medium,Medium,
NonResidential,Large Office,1983,downtown,13,83064,224493,92.0,41.5,0.22,Électricité,Medium,Medium,
NonResidential,Self-Storage Facility,1918,magnolia / queen anne,2,0,28309,81.66666666666667,17.60000038,0.42,Électricité & GazNaturel,Low,Low,
NonResidential,Hotel,1914,downtown,4,0,45500,77.0,64.5,2.68,Mixte,Medium,Medium,77.0
NonResidential,Small- and Mid-Sized Office,1900,downtown,5,0,38376,54.0,67.69999695,0.37,Électricité,Medium,Medium,
NonResidential,Small- and Mid-Sized Office,1900,downtown,4,0,42804,75.66666666666667,52.0,1.09,GazNaturel & Électricité,Medium,Medium,
NonResidential,Mixed Use Property,2005,downtown,5,0,57600,30.333333333333332,145.3999939,3.88,GazNaturel & Électricité,Medium,Medium,
NonResidential,Small- and Mid-Sized Office,1900,downtown,4,0,33300,75.66666666666667,40.70000076,0.56,Électricité,Medium,Medium,
NonResidential,Other,1900,downtown,3,0,22200,98.66666666666667,10.39999962,0.32,GazNaturel & Électricité,Medium,Medium,
NonResidential,Warehouse,1968,magnolia / queen anne,2,0,29498,4.0,136.0,1.7,Électricité,Low,Low,
NonResidential,Warehouse,1938,lake union,1,0,23050,27.0,21.10000038,0.14,Électricité,Low,Low,27.0
NonResidential,Small- and Mid-Sized Office,2008,lake union,4,0,48350,45.0,74.69999695,0.46,Électricité,Other,Other,45.0
NonResidential,Retail Store,1930,northeast,1,0,46059,82.0,36.0,0.45,Électricité,Medium,Medium,82.0
NonResidential,Medical Office,1970,northeast,2,0,23595,72.0,34.90000153,0.28,Électricité,Medium,Medium,72.0
NonResidential,Small- and Mid-Sized Office,1900,downtown,3,0,28142,96.0,32.40000153,1.21,Mixte,Medium,Medium,96.0
NonResidential,Small- and Mid-Sized Office,1900,downtown,3,0,28760,61.666666666666664,112.0,4.33,Mixte,Medium,Medium,
NonResidential,Small- and Mid-Sized Office,1902,downtown,4,0,39030,99.0,20.0,0.35,Électricité,Medium,Medium,99.0
NonResidential,Small- and Mid-Sized Office,1909,downtown,3,0,47215,58.0,46.40000153,1.35,Électricité & GazNaturel,Medium,Medium,58.0
Nonresidential COS,Other,1926,east,2,27000,34580,41.0,123.8000031,1.13,Électricité,Medium,Medium,
NonResidential,Small- and Mid-Sized Office,1917,east,3,0,30720,72.0,44.29999924,0.83,Électricité,Medium,Medium,
NonResidential,Mixed Use Property,1916,east,2,0,20640,64.0,19.29999924,0.14,Électricité,Medium,Medium,
NonResidential,Mixed Use Property,1912,east,2,0,34914,66.0,41.79999924,0.27,Électricité,Medium,Medium,
NonResidential,Small- and Mid-Sized Office,1906,east,3,0,20897,57.666666666666664,60.5,0.85,Électricité,Medium,Medium,
NonResidential,Retail Store,1916,east,2,0,36940,100.0,9.100000381,0.06,Électricité,Medium,Medium,100.0
NonResidential,Small- and Mid-Sized Office,1913,east,3,0,22866,71.0,53.09999847,0.91,Électricité,Medium,Medium,
NonResidential,Retail Store,1920,east,1,0,30240,78.0,40.0,0.6,Électricité,Medium,Medium,78.0
NonResidential,Other,1962,northeast,2,0,28586,4.333333333333333,187.8999939,1.24,Électricité,Medium,Medium,
NonResidential,Hotel,1908,downtown,3,0,28800,39.333333333333336,161.3000031,6.61,GazNaturel,Medium,Medium,
NonResidential,Restaurant,1913,downtown,3,0,28800,79.0,32.5,1.01,GazNaturel & Électricité,Other,Other,
NonResidential,Small- and Mid-Sized Office,1979,downtown,3,0,35202,2.0,108.0999985,0.71,Électricité,Medium,Medium,2.0
NonResidential,Senior Care Community,1969,east,6,26082,69035,1.0,107.6999969,1.93,Électricité & GazNaturel,High,High,1.0
