ENERGYSTARScore_imputer,SiteEUIWN(kBtu/sf),GHGEmissionsIntensity,ENERGYSTARScore,BT_NonResidential,BT_Nonresidential COS,BT_Nonresidential WA,BT_SPS-District K-12,PPT_Hospital,PPT_Hotel,PPT_K-12 School,PPT_Laboratory,PPT_Large Office,PPT_Low-Rise Multifamily,PPT_Medical Office,PPT_Mixed Use Property,PPT_Other,PPT_Refrigerated Warehouse,PPT_Residence Hall,PPT_Restaurant,PPT_Retail Store,PPT_Self-Storage Facility,PPT_Senior Care Community,PPT_Small- and Mid-Sized Office,PPT_Supermarket / Grocery Store,PPT_University,PPT_Warehouse,PPT_Worship Facility,CE_GazNaturel & Électricité,CE_Mixte,CE_Vapeur,CE_Vapeur & Électricité,CE_Électricité,CE_Électricité & GazNaturel,CE_Électricité & Vapeur,NH_central,NH_delridge,NH_delridge neighborhoods,NH_downtown,NH_east,NH_greater duwamish,NH_lake union,NH_magnolia / queen anne,NH_north,NH_northeast,NH_northwest,NH_southeast,NH_southwest,LPUT_Low,LPUT_Medium,LPUT_Other,SLPUT_Low,SLPUT_Medium,SLPUT_Other,SiteEUIWN_log,Intensity_log,NumberofFloors_log,PropertyGFAParking_log,PropertyGFABuilding(s)_log,YearBuilt_log
36.0,80.40000153,2.22,36.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.399375291804563,1.169381359556317,3.258096538021482,11.021281360620167,12.513612490816415,7.599901959208498
48.0,97.80000305,5.05,48.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.593097635624267,1.80005827204275,2.302585092994046,0.0,11.08228100083132,7.564238475170491
58.0,76.19999695,2.05,58.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.346399417522957,1.1151415906193203,3.5263605246161616,10.961295207644392,12.462078275121403,7.590852123688581
35.0,165.8999939,5.55,35.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.117394794118957,1.8794650496471605,2.4849066497880004,10.134638955251866,11.112298633502313,7.561121589530238
76.66666666666667,51.09999847,0.44,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.953164919392718,0.3646431135879093,2.4849066497880004,10.950824090522445,12.779873068457553,7.602900462204755
31.666666666666668,78.40000153,4.18,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.374498387522611,1.6448050562713916,1.9459101490553132,0.0,11.551290042513212,7.5652752818989315
31.0,98.59999847,1.93,31.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.601162149229107,1.0750024230289759,3.367295829986474,11.350418300109132,12.710722236809435,7.592366128519796
37.0,137.1000061,4.75,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.927978104586136,1.749199854809259,1.791759469228055,0.0,10.958705095551714,7.553286605600419
39.0,97.30000305,3.35,39.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.588024058180587,1.4701758451005926,2.3978952727983707,0.0,11.555525078589046,7.557994958530806
76.0,87.5,2.34,76.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.483002552013883,1.205970806988609,2.3978952727983707,0.0,13.199990863083618,7.557994958530806
